sessão,ordTeste,ordPalavra,est,res,tempo
43,1,1,Tempo,Espaço,"2,7"
43,1,2,Casa,Mãe,"0,85"
43,1,3,Tudo,Nada,"0,85"
43,1,4,Querer,Poder,"0,92"
43,1,5,Bom,Ruim,"1,27"
43,1,6,Coisa,Nada,"1,34"
43,1,7,Ruim,Bom,"0,92"
43,1,8,Mãe,Casa,6
43,1,9,Raiva,Calma,"8,12"
43,1,10,Dissertação,Fim,"1,92"
43,1,11,Nada,Tudo,"1,72"
43,1,12,Cabeça,Corpo,"1,18"
43,1,13,Hoje,Ontem,"3,8"
43,1,14,Ela,Eu,4
43,1,15,Pensar,Sentir,"1,4"
43,1,16,Nina,Nina,"1,37"
43,1,17,Nada,Vô,"5,8"
43,1,18,Ano,doimilquinze,"4,26"
43,1,19,Agora,Hoje,"2,51"
43,1,20,Difícil,Dissertação,"2,27"
44,2,1,Querer,Poder,"0,75"
44,2,2,Difícil,Fácil,"0,49"
44,2,3,Livro,História,11
44,2,4,Sítio,Vô,"0,84"
44,2,5,Bom,Ruim,"1,4"
44,2,6,Diferente,Igual,"1,94"
44,2,7,Nina,Diferente,"3,8"
44,2,8,Casa,Mãe,"0,92"
44,2,9,Vera,Gostar,"3,5"
44,2,10,Matemática,Matemática,"1,37"
44,2,11,Hoje,Hoje,"3,48"
44,2,12,Ano,doismil,"11,99"
44,2,13,Dissertação,Dezembro,"5,86"
44,2,14,Interessante,Legal,"1,45"
44,2,15,Tempo,Pouco,"1,78"
44,2,16,Raiva,Nina,"1,7"
44,2,17,Falar,Pensar,"1,07"
44,2,18,Tudo,Tudo,"3,74"
44,2,19,Sevastopol,Éder,"3,22"
44,2,20,Nunca,Sempre,"1,5"
45,3,1,Nina,Nina,
45,3,2,Tempo,Nina,
45,3,3,Diferente,Igual,
45,3,4,Pai,Mãe,
45,3,5,Livro,História,
45,3,6,Primeiro,Segundo,
45,3,7,Ano,Ano,
45,3,8,Começar,Terminar,
45,3,9,Beleza,Beleza,
45,3,10,Problema,Solução,
45,3,11,Casa,Mãe,
45,3,12,Coisa,mãe,
45,3,13,Escrever,Ler,
45,3,14,Sítio,Vô,
45,3,15,Sentir,Pensar,
45,3,16,Agora,Já,
45,3,17,Dissertação,Fim,
45,3,18,Querer,Poder,
45,3,19,Conseguir,Tentar,
45,3,20,Tudo,Nada,
46,4,1,Outros,Outros,
46,4,2,Escrever,Ler,
46,4,3,Pai,Mãe,
46,4,4,Beleza,Feio,
46,4,5,Época,Novo,
46,4,6,Eu,Ele,
46,4,7,Relação,Amor,
46,4,8,Diferente,Igual,
46,4,9,Olga,Legal,
46,4,10,Dissertação,Fim,
46,4,11,Vida,Morte,
46,4,12,Livro,Ler,
46,4,13,Passado,Futuro,
46,4,14,Conseguir,Tentar,
46,4,15,Casa,Casa,
46,4,16,Começar,Tentar,
46,4,17,Trabalhar,Agora,
46,4,18,Raiva,Medo,
46,4,19,Voltar,Casa,
46,4,20,Problema,Mãe,
47,5,1,Voltar,Ir,
47,5,2,Hoje,Ontem,
47,5,3,Olga,Itália,
47,5,4,Vera,Sevastopol,
47,5,5,Conseguir,Tentar,
47,5,6,Vida,Morte,
47,5,7,Relação,Tentar,
47,5,8,Escrever,Fazer,
47,5,9,Agora,Hoje,
47,5,10,Nina,Nikolai,
47,5,11,Música,Caçapa,
47,5,12,Problema,Solução,
47,5,13,Helena,Sevastopol,
47,5,14,Sozinho,Junto,
47,5,15,Vontade,Potência,
47,5,16,Interessante,Legal,
47,5,17,Mãe,Pai,
47,5,18,Ruim,Bom,
47,5,19,Vida,Morte,
47,5,20,Difícil,Fácil,
