"","session","tos","speaker"
"1",1,1,"Analista"
"2",1,2,"Analisando"
"3",1,3,"Analista"
"4",1,4,"Analisando"
"5",1,5,"Analista"
"6",1,6,"Analisando"
"7",1,7,"Analista"
"8",1,8,"Analisando"
"9",1,9,"Analista"
"10",1,10,"Analisando"
"11",1,11,"Analista"
"12",1,12,"Analisando"
"13",1,13,"Analista"
"14",1,14,"Analisando"
"15",1,15,"Analista"
"16",1,16,"Analisando"
"17",1,17,"Analista"
"18",1,18,"Analisando"
"19",1,19,"Analista"
"20",1,20,"Analisando"
"21",1,21,"Analista"
"22",1,22,"Analisando"
"23",1,23,"Analista"
"24",1,24,"Analisando"
"25",1,25,"Analista"
"26",1,26,"Analisando"
"27",1,27,"Analista"
"28",1,28,"Analisando"
"29",1,29,"Analista"
"30",1,30,"Analisando"
"31",1,31,"Analista"
"32",1,32,"Analisando"
"34",1,34,"Analisando"
"35",1,35,"Analista"
"36",1,36,"Analisando"
"37",2,1,"Analisando"
"38",2,2,"Analista"
"39",2,3,"Analisando"
"40",2,4,"Analista"
"41",2,5,"Analisando"
"42",2,6,"Analista"
"43",2,7,"Analisando"
"44",2,8,"Analista"
"45",2,9,"Analisando"
"46",2,10,"Analista"
"47",2,11,"Analisando"
"48",2,12,"Analista"
"49",2,13,"Analisando"
"50",2,14,"Analista"
"51",2,15,"Analisando"
"52",2,16,"Analista"
"53",2,17,"Analisando"
"54",2,18,"Analista"
"55",2,19,"Analisando"
"56",2,20,"Analista"
"57",2,21,"Analisando"
"58",2,22,"Analista"
"59",2,23,"Analisando"
"60",2,24,"Analista"
"61",2,25,"Analisando"
"62",2,26,"Analista"
"63",2,27,"Analisando"
"64",2,28,"Analista"
"65",2,29,"Analisando"
"66",2,30,"Analista"
"67",2,31,"Analisando"
"68",2,32,"Analista"
"69",2,33,"Analisando"
"70",2,34,"Analista"
"71",2,35,"Analisando"
"72",2,36,"Analista"
"73",2,37,"Analisando"
"74",2,38,"Analista"
"75",2,39,"Analisando"
"76",2,40,"Analista"
"77",2,41,"Analisando"
"78",2,42,"Analista"
"79",2,43,"Analisando"
"80",2,44,"Analista"
"81",2,45,"Analisando"
"82",2,46,"Analista"
"83",2,47,"Analisando"
"84",2,48,"Analista"
"85",2,49,"Analisando"
"86",2,50,"Analista"
"87",2,51,"Analisando"
"88",2,52,"Analista"
"89",2,53,"Analisando"
"90",2,54,"Analista"
"91",2,55,"Analisando"
"92",2,56,"Analista"
"93",2,57,"Analisando"
"94",2,58,"Analista"
"95",2,59,"Analisando"
"96",2,60,"Analista"
"97",2,61,"Analisando"
"98",2,62,"Analista"
"99",2,63,"Analisando"
"100",2,64,"Analista"
"101",2,65,"Analisando"
"102",2,66,"Analista"
"103",2,67,"Analisando"
"104",2,68,"Analista"
"105",2,69,"Analisando"
"106",2,70,"Analista"
"107",2,71,"Analisando"
"108",2,72,"Analista"
"109",2,73,"Analisando"
"110",2,74,"Analista"
"111",3,1,"Analisando"
"112",3,2,"Analista"
"113",3,3,"Analisando"
"114",3,4,"Analista"
"115",3,5,"Analisando"
"116",3,6,"Analista"
"117",3,7,"Analisando"
"118",3,8,"Analista"
"119",3,9,"Analisando"
"120",3,10,"Analista"
"121",3,11,"Analisando"
"122",3,12,"Analista"
"123",3,13,"Analisando"
"124",3,14,"Analista"
"125",3,15,"Analisando"
"126",3,16,"Analista"
"127",3,17,"Analisando"
"128",3,18,"Analisando"
"129",3,19,"Analista"
"130",3,20,"Analisando"
"131",3,21,"Analista"
"132",3,22,"Analisando"
"133",3,23,"Analista"
"134",3,24,"Analisando"
"135",3,25,"Analista"
"136",3,26,"Analisando"
"137",3,27,"Analista"
"138",3,28,"Analisando"
"139",3,29,"Analista"
"140",3,30,"Analisando"
"141",3,31,"Analista"
"142",3,32,"Analisando"
"143",3,33,"Analista"
"144",3,34,"Analisando"
"145",3,35,"Analista"
"146",3,36,"Analisando"
"147",3,37,"Analista"
"148",3,38,"Analisando"
"149",3,39,"Analista"
"150",3,40,"Analisando"
"151",3,41,"Analista"
"152",3,42,"Analisando"
"153",3,43,"Analista"
"155",3,45,"Analista"
"157",3,47,"Analista"
"158",3,48,"Analisando"
"159",3,49,"Analista"
"160",3,50,"Analisando"
"161",3,51,"Analista"
"162",3,52,"Analisando"
"163",3,53,"Analista"
"164",3,54,"Analisando"
"165",3,55,"Analista"
"166",3,56,"Analisando"
"167",3,57,"Analista"
"168",3,58,"Analisando"
"169",3,59,"Analista"
"170",3,60,"Analisando"
"171",3,61,"Analista"
"172",3,62,"Analisando"
"173",3,63,"Analista"
"174",3,64,"Analisando"
"175",3,65,"Analista"
"176",3,66,"Analisando"
"177",3,67,"Analista"
"178",3,68,"Analisando"
"179",3,69,"Analista"
"180",3,70,"Analisando"
"181",3,71,"Analista"
"182",3,72,"Analisando"
"183",3,73,"Analista"
"184",3,74,"Analisando"
"185",3,75,"Analista"
"186",3,76,"Analisando"
"187",3,77,"Analista"
"188",3,78,"Analisando"
"189",3,79,"Analista"
"190",3,80,"Analisando"
"191",3,81,"Analista"
"192",3,82,"Analisando"
"193",3,83,"Analista"
"194",3,84,"Analisando"
"195",3,85,"Analista"
"196",3,86,"Analisando"
"197",3,87,"Analista"
"198",3,88,"Analisando"
"199",3,89,"Analista"
"200",3,90,"Analisando"
"201",3,91,"Analista"
"202",3,92,"Analisando"
"203",3,93,"Analista"
"204",3,94,"Analisando"
"205",3,95,"Analista"
"206",3,96,"Analisando"
"207",3,97,"Analista"
"208",3,98,"Analisando"
"209",3,99,"Analista"
"210",4,1,"Analisando"
"211",4,2,"Analista"
"212",4,3,"Analisando"
"213",4,4,"Analista"
"214",4,5,"Analisando"
"215",4,6,"Analista"
"216",4,7,"Analisando"
"217",4,8,"Analista"
"218",4,9,"Analisando"
"219",4,10,"Analista"
"220",4,11,"Analisando"
"221",4,12,"Analista"
"222",4,13,"Analisando"
"223",4,14,"Analista"
"224",4,15,"Analisando"
"225",4,16,"Analista"
"226",4,17,"Analisando"
"227",4,18,"Analista"
"228",4,19,"Analisando"
"229",4,20,"Analista"
"230",4,21,"Analisando"
"231",4,22,"Analista"
"232",4,23,"Analisando"
"233",4,24,"Analista"
"234",4,25,"Analisando"
"235",4,26,"Analista"
"236",4,27,"Analisando"
"237",4,28,"Analista"
"238",4,29,"Analisando"
"239",4,30,"Analista"
"240",4,31,"Analisando"
"241",4,32,"Analista"
"242",4,33,"Analisando"
"243",4,34,"Analista"
"244",4,35,"Analisando"
"245",4,36,"Analista"
"246",4,37,"Analisando"
"247",4,38,"Analista"
"248",4,39,"Analisando"
"249",4,40,"Analista"
"250",4,41,"Analisando"
"251",4,42,"Analista"
